ref,model,appraisal_date,condition,dealer,price_yen,accessories,source_url,use_status,note
16700,GMTマスター E番,2020-07-15,中古品・使用感あり,買取屋アップ,850000,保証書なし・ガラス欠け・ブレスよれ,https://hikakaku.com/category/all-category/watch/high_brand_watch/rolex-men/gmt-master/assessment_achievements/,参考,付属品と状態の明記あり
116500LN,デイトナ ブラック,2026-04-16,中古美品,買虎,4100000,記載なし,https://hikakaku.com/category/all-category/watch/items/1034255/,採用候補,代表実績
116500LN,デイトナ ブラック,2026-04-15,中古美品,買取天国ティキソルtikisol,3500000,記載なし,https://hikakaku.com/category/all-category/watch/items/1034255/,採用候補,比較補助
116500LN,デイトナ ブラック,2026-04-03,中古品・使用感あり,アサカの買取,5150000,記載なし,https://hikakaku.com/category/all-category/watch/items/1034255/,除外,同型黒の近接実績より上振れが大きく比較カードには不採用
116500LN,デイトナ ブラック,2022-03-19,中古美品,エステメ,48500000,記載なし,https://hikakaku.com/category/all-category/watch/items/1034255/,除外,桁誤りとみられる
16234,デイトジャスト ブラック,2025-12-10,中古品・使用感あり,買虎,1000000,記載なし,https://hikakaku.com/category/all-category/watch/items/2846863/,採用候補,代表実績
16234,デイトジャスト ブラック,2025-12-10,中古品・使用感あり,Watch7,700000,記載なし,https://hikakaku.com/category/all-category/watch/items/2846863/,採用候補,比較補助・別掲載実績
16234,デイトジャスト ブラック,2025-09-30,中古品・使用感あり,買虎,1010000,記載なし,https://hikakaku.com/category/all-category/watch/items/2846863/,採用候補,比較補助
16013,デイトジャスト,2026-02-12,中古品・使用感あり,エステメ 福岡天神店,950000,記載なし,https://hikakaku.com/category/all-category/watch/items/288862/,採用候補,代表実績
16013,デイトジャスト,2025-07-04,中古美品,エステメ,750000,記載なし,https://hikakaku.com/category/all-category/watch/items/288862/,採用候補,比較補助
16013,デイトジャスト,2024-01-28,中古品・使用感あり,エステメ大阪支店,640000,記載なし,https://hikakaku.com/category/all-category/watch/items/288862/,参考,時期差あり
15200,オイスターパーペチュアルデイト N番,2022-05-11,中古品・使用感あり,エステメ,450000,記載なし,https://hikakaku.com/category/all-category/watch/items/3536029/,採用候補,過去の実際の査定事例としてのみ使用
15200,オイスターパーペチュアルデイト N番,2022-01-14,中古美品,エステメ,470000,記載なし,https://hikakaku.com/category/all-category/watch/items/3536029/,参考,同一業者・古い事例
116610LN,サブマリーナ,2025-02-13,中古品・使用感あり,エステメ 福岡天神店,1950000,記載なし,https://hikakaku.com/category/all-category/watch/items/2847312/,採用候補,代表実績
116610LN,サブマリーナ,2025-01-16,中古美品,エステメ大阪支店,2080000,記載なし,https://hikakaku.com/category/all-category/watch/items/2847312/,採用候補,比較補助
116610LN,サブマリーナ,2024-12-22,中古美品,エステメ,1900000,記載なし,https://hikakaku.com/category/all-category/watch/items/2847312/,採用候補,比較補助
116610LN,サブマリーナ,2024-12-22,中古美品,買取天国ティキソルtikisol,1100000,記載なし,https://hikakaku.com/category/all-category/watch/items/2847312/,参考,同日の別掲載だが同一個体とは確認できない
124060,サブマリーナ,2025-11-06,中古美品,エステメ 福岡天神店,1750000,記載なし,https://hikakaku.com/category/all-category/watch/items/3785900/,採用候補,代表実績
124060,サブマリーナ,2025-10-19,中古美品,エステメ 福岡天神店,1780000,記載なし,https://hikakaku.com/category/all-category/watch/items/3785900/,採用候補,比較補助
124060,サブマリーナ,2025-08-13,中古美品,エステメ 神戸三宮店,1680000,記載なし,https://hikakaku.com/category/all-category/watch/items/3785900/,採用候補,比較補助
124060,サブマリーナ,2022-02-19,中古美品,エステメ,17500000,記載なし,https://hikakaku.com/category/all-category/watch/items/3785900/,除外,桁誤りとみられる
16710,GMTマスターII,2026-06-29,中古美品,エステメ,1800000,記載なし,https://hikakaku.com/category/all-category/watch/high_brand_watch/rolex-men/gmt-master-ii-men/assessment_achievements/,採用候補,代表実績
16710,GMTマスターII,2026-06-28,中古美品,戸越銀座屋,1850000,記載なし,https://hikakaku.com/category/all-category/watch/high_brand_watch/rolex-men/gmt-master-ii-men/assessment_achievements/,採用候補,比較補助
16710,GMTマスターII A番,2025-12-26,中古美品,買虎,2050000,記載なし,https://hikakaku.com/category/all-category/watch/high_brand_watch/rolex-men/gmt-master-ii-men/assessment_achievements/,参考,シリアル差あり
16710,GMTマスターII,2018-04-27,中古品・使用感あり,ネクストプラス 市川店,800000,箱・保証書・余りコマ12,https://hikakaku.com/category/all-category/watch/high_brand_watch/rolex-men/gmt-master/assessment_achievements/,参考,付属品記載がある古い事例
126610LN,サブマリーナ デイト,2026-08-19,中古美品,エステメ 福岡天神店,2030000,記載なし,https://hikakaku.com/category/all-category/watch/items/3785901/,採用候補,代表実績
126610LN,サブマリーナ デイト,2026-03-12,中古品・使用感あり,買虎,2200000,記載なし,https://hikakaku.com/category/all-category/watch/items/3785901/,採用候補,比較補助
126610LN,サブマリーナ デイト,2025-08-08,中古品・使用感あり,おたからや,1980000,記載なし,https://hikakaku.com/category/all-category/watch/items/3785901/,採用候補,比較補助
126610LN,サブマリーナ デイト,2022-05-03,中古美品,エステメ,26000000,記載なし,https://hikakaku.com/category/all-category/watch/items/3785901/,除外,桁誤りとみられる
